"Comunidad de Madrid"
Actualizado: viernes, 14 octubre 2016 a las 13:42 hora oficial
Fecha y hora: viernes, 14 octubre 2016 a las 13:00

"Estación","Provincia","Temperatura (ºC)","Velocidad del viento (km/h)","Dirección del viento","Racha (km/h)","Dirección de racha","Precipitación (mm)","Presión (hPa)","Tendencia (hPa)","Humedad (%)"
"Alcala de Henares","Madrid","","","","","","","","",""
"Alpedrete","Madrid","","","","","","","","",""
"Aranjuez","Madrid","15.4","7","Norte","19","Norte","0.0","","","74"
"Arganda del Rey","Madrid","","","","","","","","",""
"Buitrago del Lozoya","Madrid","","","","","","","","",""
"Colmenar Viejo","Madrid","11.8","7","Sur","26","Sur","0.0","894.8","1.4","87"
"Madrid, Ciudad Universitaria","Madrid","15.5","","","","","0.0","","","64"
"Madrid, El Goloso","Madrid","","","","","","","","",""
"Madrid, Retiro","Madrid","15.3","5","Oeste","10","Oeste","0.0","930.1","1.3","71"
"Madrid Aeropuerto","Madrid","17.0","5","Sudeste","18","Sur","0.0","940.5","1.2","65"
"Pozuelo de Alarcón","Madrid","","","","","","","","",""
"Puerto Alto del León","Madrid","6.7","23","Este","41","Este","","839.9","1.6","88"
"Puerto de Navacerrada","Madrid","4.8","7","Noroeste","19","Noroeste","0.0","804.0","1.3","100"
"Rascafría","Madrid","","","","","","","","",""
"Rozas de Puerto Real","Madrid","11.8","","","","","0.0","","","100"
"San Sebastián de Los Reyes","Madrid","","","","","","","","",""
"Somosierra","Madrid","7.5","0","Calma","10","Norte","0.0","849.4","1.4","89"
"Tielmes","Madrid","","","","","","","","",""
"Valdemorillo","Madrid","14.5","6","Norte","12","Norte","0.0","","","89"
