idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude
1044,PUNTOS DE MEDIDA M-30,03FT08PM01,03FT08PM01,44747344416665.00,438963314634858.00,31,-1.5468350360068,3.5338599838279
3600,PUNTOS DE MEDIDA M-30,PM30901,PM30901,447326824999887.00,443729047369186.00,31,1.1631719227218,3.8604929560231
3705,PUNTOS DE MEDIDA M-30,PM41451,PM41451,447157421949934.00,439858261097366.00,31,3.8787326566534,3.8199650959335
6823,PUNTOS DE MEDIDA M-30,PM41453,PM41453,447089503379762.00,439188095183064.00,31,-1.0011655382198,-2.3189983914306
7033,PUNTOS DE MEDIDA URBANOS,1015,P∫ Castellana S-N - Pl. Colon-Hermosilla,447550242536523.00,441569555897254.00,31,-3.8400592270320,-7.8169280744559
3864,PUNTOS DE MEDIDA URBANOS,2009,Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente),447397840115568.00,443278122806687.00,31,-4.6493758686761,-1.1232511537970
4237,PUNTOS DE MEDIDA URBANOS,14037,Moratines O-E - Martin Vargas-Embajadores,447299494936248.00,440515953264391.00,31,-5.1191829518150,-1.3452010226795
5597,PUNTOS DE MEDIDA URBANOS,61090,Alfonso XIII O-E - Paraguay-Ricardo Calvo,44792554800699.00,443241345233115.00,31,3.8479135418834,8.7039164347389
5586,PUNTOS DE MEDIDA URBANOS,61120,Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.JosÈ M™Soler,447925534573733.00,443529430869472.00,31,-2.7550745847945,-6.0846885381441
5967,PUNTOS DE MEDIDA URBANOS,45021,Pl. Alsacia - Malmoe-Hermanos GarcÌa Noblejas,447443559451684.00,447211606213573.00,31,4.9739262796815,1.4512682951563
5993,PUNTOS DE MEDIDA URBANOS,45049,Pl. Alsacia - Fuente Carrantona-Malmoe,447445956198714.00,447195526932339.00,31,1.9937509187232,4.6205655010266
6371,PUNTOS DE MEDIDA URBANOS,59017,C/. Salvador de Madariaga - Esteban Mora-Verdaguer y GarcÌa,44768876611661.00,444384173429622.00,31,-5.5879932032525,-1.2199007205258
6375,PUNTOS DE MEDIDA URBANOS,59021,Av. Badajoz - AristÛteles-Torrelaguna,447734786053692.00,444747109372472.00,31,4.8519933638673,-1.1121764173425
