idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude,,,,
1044,PUNTOS DE MEDIDA M-30,"03FT08PM01",03FT08PM01,44747344416665.00,438963314634858.00,31,-15.468.350.360.068,35.338.599.838.279,,,,
3600,PUNTOS DE MEDIDA M-30,"PM30901",PM30901,447326824999887.00,443729047369186.00,31,11.631.719.227.218,38.604.929.560.231,,,,
3705,PUNTOS DE MEDIDA M-30,"PM41451",PM41451,447157421949934.00,439858261097366.00,31,38.787.326.566.534,38.199.650.959.335,,,,
6823,PUNTOS DE MEDIDA M-30,"PM41453",PM41453,447089503379762.00,439188095183064.00,31,-10.011.655.382.198,-23.189.983.914.306,,,,
7033,PUNTOS DE MEDIDA URBANOS,"1015",P∫ Castellana S-N - Pl. Colon-Hermosilla,447550242536523.00,441569555897254.00,31,-38.400.592.270.320,-78.169.280.744.559,,,,
3864,PUNTOS DE MEDIDA URBANOS,"2009",Dr. Esquedo N-S - Samaria-Av. Nazaret (De Frente),447397840115568.00,443278122806687.00,31,-46.493.758.686.761,-11.232.511.537.970,,,,
4237,PUNTOS DE MEDIDA URBANOS,"14037",Moratines O-E - Martin Vargas-Embajadores,447299494936248.00,440515953264391.00,31,-51.191.829.518.150,-13.452.010.226.795,,,,
5597,PUNTOS DE MEDIDA URBANOS,"61090",Alfonso XIII O-E - Paraguay-Ricardo Calvo,44792554800699.00,443241345233115.00,31,38.479.135.418.834,87.039.164.347.389,,,,
5586,PUNTOS DE MEDIDA URBANOS,"61120",Acceso M-30 N-E(Superficie) - M-30 Norte-Pl.JosÈ M™Soler,447925534573733.00,443529430869472.00,31,-27.550.745.847.945,-60.846.885.381.441,,,,
5967,PUNTOS DE MEDIDA URBANOS,"45021",Pl. Alsacia - Malmoe-Hermanos GarcÌa Noblejas,447443559451684.00,447211606213573.00,31,49.739.262.796.815,14.512.682.951.563,,,,
5993,PUNTOS DE MEDIDA URBANOS,"45049",Pl. Alsacia - Fuente Carrantona-Malmoe,447445956198714.00,447195526932339.00,31,19.937.509.187.232,46.205.655.010.266,,,,
6371,PUNTOS DE MEDIDA URBANOS,"59017",C/. Salvador de Madariaga - Esteban Mora-Verdaguer y GarcÌa,44768876611661.00,444384173429622.00,31,-55.879.932.032.525,-12.199.007.205.258,,,,
