idelem;tipo_elem;identif;nombre;north; east; zone; longitude; latitude;;
1044;PUNTOS DE MEDIDA M-30;03FT08PM01;03FT08PM01;4474734;438963;30;-3,719491411;40,42099728;;
3600;PUNTOS DE MEDIDA M-30;PM30901;PM30901;4473268;443729;30;-3,663184844;40,4081267;;
3705;PUNTOS DE MEDIDA M-30;PM41451;PM41451;4471574;439858;30;-3,708643481;40,39259567;;
6823;PUNTOS DE MEDIDA M-30;PM41453;PM41453;4470895;439188;30;-3,716472575;40,38643026;;
7033;PUNTOS DE MEDIDA URBANOS;1015;P∫ Castellana S-N - Pl, Colon-Hermosilla;4475502;441569;30;-3,688845156;40,42810288;;
3864;PUNTOS DE MEDIDA URBANOS;2009;Dr, Esquedo N-S - Samaria-Av, Nazaret (De Frente);4473978;443278;30;-3,668563083;40,41449216;;
4237;PUNTOS DE MEDIDA URBANOS;14037;Moratines O-E - Martin Vargas-Embajadores;4472994;440515;30;-3,701035384;40,40543492;;
5597;PUNTOS DE MEDIDA URBANOS;61090;Alfonso XIII O-E - Paraguay-Ricardo Calvo;4479255;443241;30;-3,669470545;40,46202751;;
5586;PUNTOS DE MEDIDA URBANOS;61120;Acceso M-30 N-E(Superficie) - M-30 Norte-Pl,JosÈ M™Soler;4479255;443529;30;-3,666073813;40,46204713;;
5967;PUNTOS DE MEDIDA URBANOS;45021;Pl, Alsacia - Malmoe-Hermanos GarcÌa Noblejas;4474435;447211;30;-3,622246754;40,41886785;;
5993;PUNTOS DE MEDIDA URBANOS;45049;Pl, Alsacia - Fuente Carrantona-Malmoe;4474459;447195;30;-3,622437335;40,41908304;;
6371;PUNTOS DE MEDIDA URBANOS;59017;C/, Salvador de Madariaga - Esteban Mora-Verdaguer y GarcÌa;4476887;444384;30;-3,655782338;40,44077266;;
6375;PUNTOS DE MEDIDA URBANOS;59021;Av, Badajoz - AristÛteles-Torrelaguna;4477347;444747;30;-3,651542387;40,44494078;;
6398;PUNTOS DE MEDIDA URBANOS;64011;Av, Canillejas a Vic·lvaro - Pobladura del Valle-Julia Garcia Boutan;4475649;448273;30;-3,609827942;40,42987102;;
6419;PUNTOS DE MEDIDA URBANOS;64405;Av, Canillejas a Vic·lvaro a Suecia - Aquitania-Av, Guadalajara;4474919;448252;30;-3,610016088;40,42329342;;
3810;PUNTOS DE MEDIDA URBANOS;65027;AV, Daroca 106 O-E - Fco, Largo Caballeroo-Fuente Carranton;4474386;446846;30;-3,626544829;40,4184032;;
5315;PUNTOS DE MEDIDA URBANOS;86012;RAFAEL FINAT N-S(GRAL,SALIQUET-AVIACION);4469854;434477;30;-3,771864813;40,37669533;;
6511;PUNTOS DE MEDIDA URBANOS;71009;C/, San Romualdo - Albasanz-Alcal·  ;4477072;447288;30;-3,621557853;40,44262841;;
5061;PUNTOS DE MEDIDA URBANOS;49035;OCA N-S(MATILDE FERNANDEZ-GRAL,RICARDOS);4471311;438065;30;-3,729742934;40,39009505;;
5119;PUNTOS DE MEDIDA URBANOS;51020;LAGUNA S-N(MU?OZ GRANDES-N,SRA,FATIMA);4471244;437123;30;-3,740834467;40,38942091;;
3771;PUNTOS DE MEDIDA URBANOS;80006;POBLADOS E-O(GUARE?A-PADRE PIQUER);4471481;435069;30;-3,76505742;40,39139833;;
5238;PUNTOS DE MEDIDA URBANOS;84003;AV,CARABANCHEL ALTO S-N(M-40-AV,PESETA);4468294;436092;30;-3,752685229;40,36276757;;
5265;PUNTOS DE MEDIDA URBANOS;84030;P,SAN JOSE S-N(PARQUE GARAJONAI-JACOBEO);4468700;435490;30;-3,759815846;40,36637863;;
5280;PUNTOS DE MEDIDA URBANOS;85006;GRAL RICARDOS  O-E;4472235;439190;30;-3,716576961;40,39850177;;
5385;PUNTOS DE MEDIDA URBANOS;94001;R, PINTO SO-NE(LAG DALGA-LAG MARQUESADO);4465109;439511;30;-3,712118674;40,33433034;;
5015;PUNTOS DE MEDIDA URBANOS;95034;CARAMUEL S-N(AV,CAPRICHOS-PABLO SARASATE;4473225;438180;30;-3,728573911;40,40734576;;
5107;PUNTOS DE MEDIDA URBANOS;96053;PINZON  N-S (TUCAN-OCA);4471428;437291;30;-3,738873316;40,39109113;;
5162;PUNTOS DE MEDIDA URBANOS;98031;CARAB-ARAVACA E-O(SEB,ALVARO-VILLAVICI,);4472224;434447;30;-3,772462068;40,39804283;;
9933;PUNTOS DE MEDIDA URBANOS;29019;RAMIRO MAEZTU E-O(DIRECCISN NORTE)(MORERAS -AV,GREGORIO AMO);4477940;438701;30;-3,722888827;40,44985897;;
7073;PUNTOS DE MEDIDA URBANOS;30027;MARTMN FIERRO S-N(OBISPO TREJO - JUAN HERRERA);4476708;438042;30;-3,730539539;40,43871179;;
4508;PUNTOS DE MEDIDA URBANOS;31015;FRANCOS RODRIGUEZ O-E(PIRINEOS-POLICIA);4479106;439440;30;-3,714285796;40,46041692;;
4509;PUNTOS DE MEDIDA URBANOS;31016; FRANCOS RODRIGUEZ E-O(COLEGIO PALOMA-DEHESA  VILLA);4479149;439348;30;-3,715374935;40,46079757;;
5419;PUNTOS DE MEDIDA URBANOS;43006;AV,MONFORTE DE LEMOS O-E(PL,ARTEIJO-GINZO DE LIMIA);4481371;440277;30;-3,704627601;40,48088149;;
5420;PUNTOS DE MEDIDA URBANOS;43008;AV,MONFORTE DE LEMOS E-O(FINISTERRE-GINZO DE LIMIA);4481442;440525;30;-3,701708501;40,48153889;;
5418;PUNTOS DE MEDIDA URBANOS;43005;AV,MONFORTE DE LEMOS E-O(PL,ARTEIJO-PL,FONSAGRADA);4481353;440159;30;-3,706017997;40,48071085;;
7029;PUNTOS DE MEDIDA URBANOS;1012; P∫ Recoletos  N-S -  (PL, Colon-B·rbara Braganza);4475279;441510;30;-3,689520145;40,42608984;;
4192;PUNTOS DE MEDIDA URBANOS;2016;Dr, Esquerdo N-S - Angel Ganivet-Av, Mediterraneo;4473494;443247;30;-3,668885272;40,41012991;;
3934;PUNTOS DE MEDIDA URBANOS;5006;Concha Espina; 39 O-E - Pl, Sagrados Corazone-Serrano;4478325;442168;30;-3,682040973;40,45357566;
7037;PUNTOS DE MEDIDA URBANOS;8014;Goya; 43 E-O - NuÒez de Balboa-Velazquez;4475378;442180;30;-3,681631263;40,42702852;
5082;PUNTOS DE MEDIDA URBANOS;8016;Goya E-O - General PardiÒas-Principe de Vergara;4475353;442528;30;-3,677526757;40,42682742;;
4016;PUNTOS DE MEDIDA URBANOS;8017;Jose Ortega y Gasset O-E - NuÒez de Balboa-Castello;4475941;442234;30;-3,68104587;40,43210405;;
4017;PUNTOS DE MEDIDA URBANOS;8018;Jose Ortega y Gasset E-O - NuÒez de Balboa-Velazquez;4475945;442213;30;-3,681293801;40,43213863;;
4018;PUNTOS DE MEDIDA URBANOS;9001;Lateral M-30 N-S - Salida Puente Ventas-Pl, Toros;4476161;444046;30;-3,659703602;40,4342098;;
4043;PUNTOS DE MEDIDA URBANOS;9029;Principe de Vergara S-N - Jorge Juan-Goya;4475220;442406;30;-3,678952848;40,42562085;;
7041;PUNTOS DE MEDIDA URBANOS;13025;P∫ del Prado N-S - Zorrilla-Plaza de las Cortes;4474510;441211;30;-3,692973624;40,41914124;;
4400;PUNTOS DE MEDIDA URBANOS;18009;Carranza O-E - San Bernardo -Fuencarral;4475858;440343;30;-3,703330902;40,43122287;;
4387;PUNTOS DE MEDIDA URBANOS;18010;Conde Duque; 13 S-N - Sta Cruz de Marcenado-Alberto Aguilera;4475825;439936;30;-3,708125795;40,4308963;
4388;PUNTOS DE MEDIDA URBANOS;18011;Alberto Aguilera E-O - Vallehermoso-Galileo;4475938;439895;30;-3,708619816;40,4319113;;
4385;PUNTOS DE MEDIDA URBANOS;18007;Alberto Aguilera O-E - Princesa-Serrano Jover;4475996;439415;30;-3,714283984;40,43239896;;
4386;PUNTOS DE MEDIDA URBANOS;18008; Alberto Aguilera O-E - Conde Duque-Acuerdo;4475904;440069;30;-3,706565351;40,43161756;;
4680;PUNTOS DE MEDIDA URBANOS;35047;Puente de la Paz E-O - Av,Donostiarra-Av,Brasilia;4477110;444137;30;-3,658714205;40,442765;;
4687;PUNTOS DE MEDIDA URBANOS;35057;Poeta Claudio Rodriguez S-N  - Clara del Rey-CorazÛn de Maria;4477106;443163;30;-3,670198127;40,44266296;;
7077;PUNTOS DE MEDIDA URBANOS;35058;Camilo JosÈ Cela; 4  S-N - Azcona-Eraso;4476564;443521;30;-3,665928831;40,43780474;
4685;PUNTOS DE MEDIDA URBANOS;35054; Av,Toreros O-N - Colomer-Francisco Altimiras(Giro);4476292;443809;30;-3,662509263;40,43537393;;
4686;PUNTOS DE MEDIDA URBANOS;35056; Mejico E-O - Eduardo Vicente-Cartagena;4476812;443107;30;-3,670832085;40,44001063;;
9991;PUNTOS DE MEDIDA URBANOS;62001;Capitan  Haya; 55  - Rosario Pino -Estebanez Calderon;4479551;441469;30;-3,690397109;40,46457107;
5978;PUNTOS DE MEDIDA URBANOS;45033;C/, Hermanos GarcÌa Noblejas - Castillo de ArÈvalo-Castropol;4475689;446590;30;-3,629671668;40,430125;;
5979;PUNTOS DE MEDIDA URBANOS;45034;C/, Hermanos GarcÌa Noblejas - Castillo de UclÈs-Castillo de ArÈvalo;4475512;446688;30;-3,628501529;40,42853677;;
6071;PUNTOS DE MEDIDA URBANOS;47010;C/, Arturo Soria - Briviesca-Caleruega;4481515;443577;30;-3,665708718;40,4824095;;
6148;PUNTOS DE MEDIDA URBANOS;53018;C/, Emilio Ferrari - Vital Aza-Esteban Collantes;4476071;445695;30;-3,640255196;40,43350833;;
6265;PUNTOS DE MEDIDA URBANOS;55054;Av, de los Andes - Mahonia-Mitra;4478858;447660;30;-3,617318838;40,45874123;;
6309;PUNTOS DE MEDIDA URBANOS;56029;C/, Mar Adri·tico - Chiquinquira-Ayacucho;4480436;445922;30;-3,637950804;40,47284538;;
6374;PUNTOS DE MEDIDA URBANOS;59020;Av, Badajoz - MartÌnez Villergas-Torrelaguna;4477246;444635;30;-3,652854204;40,44402347;;
3786;PUNTOS DE MEDIDA URBANOS;59022;Av, Badajoz - Torrelaguna-MartÌnez Villergas;4477271;444655;30;-3,65262056;40,44425001;;
6376;PUNTOS DE MEDIDA URBANOS;59023;Av, Badajoz - MartÌnez Villergas-Salvador de Madariaga;4477135;444490;30;-3,654554213;40,44301386;;
6377;PUNTOS DE MEDIDA URBANOS;59024;C/, Salvador de Madariaga - Av, Badajoz-Verdaguer y GarcÌa;4477055;444383;30;-3,655808837;40,44228602;;
6406;PUNTOS DE MEDIDA URBANOS;64021;MarÌa Sevilla Odiago - Niza-Av, Canillejas a Vic·lvaro;4476181;448298;30;-3,6095765;40,43466516;;
6468;PUNTOS DE MEDIDA URBANOS;66002;Av, Arcentales - Av, Arcentales-Pl, Grecia;4476389;448760;30;-3,604146491;40,43656754;;
3698;PUNTOS DE MEDIDA URBANOS;71021;C/, Miguel Yuste - Gta, Arcentales-Emilio MuÒÛz;4476290;447353;30;-3,620726646;40,43558781;;
5207;PUNTOS DE MEDIDA URBANOS;82007;C/, Monte de Barbanza - Travesia Gavia Seca-Real Arganda;4470182;447556;30;-3,617829961;40,38057586;;
5222;PUNTOS DE MEDIDA URBANOS;82403;Cno, Pozo Tio Raimundo - Cno, Pozo Tio Raimundo E-O(Antes Gr, 1);4469652;444846;30;-3,649708045;40,37562632;;
4787;PUNTOS DE MEDIDA URBANOS;25021;ANTONIO LOPEZ S-N(S,ZACARIAS-MATI,GAYO);4471482;440578;30;-3,700151857;40,39181856;;
5120;PUNTOS DE MEDIDA URBANOS;51021;MU—OZ GRANDES O-E(B,TORRIJOS-CASTROJERIZ;4471088;437195;30;-3,739970829;40,38802103;;
4507;PUNTOS DE MEDIDA URBANOS;31014;FRANCOS RODRIGUEZ O-E(POLICIA-STO ANGEL DE LA GUARDA);4479065;439531;30;-3,713208653;40,4600542;;
7114;PUNTOS DE MEDIDA URBANOS;31018;Lope de Haro E-O (Giro Izqda)(Berruguete-Francos Rodriguez);4478894;440394;30;-3,703014573;40,45857612;;
4532;PUNTOS DE MEDIDA URBANOS;31054;VILLAAMIL N-S(CAMINO CHORRILLO-SAN RESTITUTO);4479840;439901;30;-3,708918358;40,46706255;;
4549;PUNTOS DE MEDIDA URBANOS;32007;AV, BETANZOS S-N(RIBADAVIA-CHANTADA);4480649;439737;30;-3,710929588;40,47433844;;
4550;PUNTOS DE MEDIDA URBANOS;32008;CHANTADA E-O(RIBADAVIA-AV, BETANZOS);4480704;439822;30;-3,709932124;40,47484006;;
4555;PUNTOS DE MEDIDA URBANOS;32013;AV, BETANZOS N-S(AV, MONFORTE DE LEMOS-LA BAQEZA);4481210;439750;30;-3,710829534;40,47939308;;
4505;PUNTOS DE MEDIDA URBANOS;31012;FRANCOS RODRIGUEZ O-E (DR,FEDERICO RUBIO-PABLO IGLESIAS);4479005;439683;30;-3,7114103;40,45952475;;
4060;PUNTOS DE MEDIDA URBANOS;10012;Menendez Pelayo N-S - Sainz de Baranda-Puerta Granada;4474083;442661;30;-3,675844441;40,41539578;;
4210;PUNTOS DE MEDIDA URBANOS;14014;Meson de Paredes N-S - Miguel Servet-Ronda Valencia;4473280;440584;30;-3,700248973;40,40801628;;
4211;PUNTOS DE MEDIDA URBANOS;14015; Ronda Valencia O-E - Meson de Paredes-Fray Luis Leon;4473212;440661;30;-3,699335211;40,40740919;;
4212;PUNTOS DE MEDIDA URBANOS;14016;Ronda Valencia E-O - Meson de Paredes-Gta, Embajadores;4473206;440619;30;-3,699829604;40,40735215;;
4213;PUNTOS DE MEDIDA URBANOS;14017;Embajadores S-N - Sebastian Elcano-Gta, Embajadores;4473050;440565;30;-3,700451402;40,40594297;;
10037;PUNTOS DE MEDIDA URBANOS;14043;P∫ Yeserias O-E - YeserÌas-Naves;4472412;439988;30;-3,707190803;40,40015416;;
3671;PUNTOS DE MEDIDA URBANOS;15003; Alcala E-O - Pl, Independencia-Pl, Cibeles;4474791;441536;30;-3,689168791;40,42169553;;
4393;PUNTOS DE MEDIDA URBANOS;18020;San Bernardo N-S - Noviciado-Reyes;4475395;440098;30;-3,706175512;40,42703435;;
4394;PUNTOS DE MEDIDA URBANOS;18021; Noviciado O-E - Norte-San Bernardo;4475442;440087;30;-3,706309609;40,42745696;;
4402;PUNTOS DE MEDIDA URBANOS;18024;Serrano Jover N-S( Lateral Izquierdo) - Alberto Aguilera-Sta Cruz de Marcenado;4475953;439532;30;-3,71290059;40,43202011;;
5558;PUNTOS DE MEDIDA URBANOS;61046;Alfonso XIII E-O - Torpedero Tucum·n-Encinas;4479282;442877;30;-3,673766062;40,46224579;;
5675;PUNTOS DE MEDIDA URBANOS;62062;General Yag¸e O-E - Capit·n Haya-P∫Castellana;4478831;441430;30;-3,690790654;40,45808225;;
6451;PUNTOS DE MEDIDA URBANOS;65040;C/, Andaluces - Av, Rafael Alberti-Av, Pablo Neruda;4471607;445689;30;-3,639944844;40,39329357;;
6460;PUNTOS DE MEDIDA URBANOS;65053;C/, Laponia - Laponia-Av, Doctor GarcÌa Tapia;4473194;446843;30;-3,626480593;40,40766473;;
6461;PUNTOS DE MEDIDA URBANOS;65057;C/, Fuente Carrantona - Av, Doctor GarcÌa Tapia-Mario CabrÈ;4473281;446467;30;-3,630918997;40,40842439;;
6452;PUNTOS DE MEDIDA URBANOS;65041;Av, Moratalaz  - Camimo Vinateros-Av, Doctor GarcÌa Tapia;4473583;445593;30;-3,641244835;40,41108832;;
6458;PUNTOS DE MEDIDA URBANOS;65049;C/, JosÈ Bergamin - JosÈ BergamÌn-Fuente Carrantona;4473751;446600;30;-3,629391046;40,41266698;;
3833;PUNTOS DE MEDIDA URBANOS;65051;Av, Doctor GarcÌa Tapia - M-40-Rabat;4473278;447001;30;-3,624625589;40,40843153;;
6459;PUNTOS DE MEDIDA URBANOS;65052;C/, Rabat - Rabat-Av, Doctor GarcÌa Tapia;4473390;446879;30;-3,626072702;40,40943272;;
4398;PUNTOS DE MEDIDA URBANOS;18302; Gta, Ruiz Jimenez E-O(Delante G, 5) -  Gta, Ruiz Jimenez E-O(Delante G, 5);4475876;440265;30;-3,704252115;40,43137943;;
5547;PUNTOS DE MEDIDA URBANOS;61035;Principe de Vergara S-N - Concha Espina-Pl,Rep˙blica Ecuador;4478430;442668;30;-3,676154102;40,45455619;;
5575;PUNTOS DE MEDIDA URBANOS;61064;Alberto Alcocer E-O - VÌctor AndrÈs Belaunde-P∫ de la Habana;4479097;442384;30;-3,679563819;40,46054519;;
4265;PUNTOS DE MEDIDA URBANOS;97045;Gran VÌa San Francisco S-N - San BernabÈ-Cra,San Francisco;4473638;439578;30;-3,712138348;40,4111689;;
5788;PUNTOS DE MEDIDA URBANOS;40006;Av, Buenos Aires - T˙nel Av, San Diego-Av, Pablo Neruda;4470347;444699;30;-3,651499891;40,38187758;;
5926;PUNTOS DE MEDIDA URBANOS;44024;C/, Alcal·  - Urquiza-Gutierre de Cetina;4476342;445308;30;-3,64484097;40,43592429;;
5930;PUNTOS DE MEDIDA URBANOS;44032;C/, Ricardo OrtÌz - Ricardo OrtÌz- Alcal·;4475922;444318;30;-3,656475955;40,43207501;;
6050;PUNTOS DE MEDIDA URBANOS;46405;C/, Arturo Soria - Giro a Torrecilla del Puerto;4478144;444829;30;-3,650644742;40,45212602;;
6051;PUNTOS DE MEDIDA URBANOS;46406;C/, RamÌrez de Arellano - Agastia-Arturo Soria;4478111;444821;30;-3,650736214;40,45182821;;
6209;PUNTOS DE MEDIDA URBANOS;54021;C/, Casalarreina  - CordovÌn-Ezcaray;4473578;448150;30;-3,611109106;40,41120648;;
3721;PUNTOS DE MEDIDA URBANOS;3006;Joaquin Costa 70 E-O (Velazquez - Gta, Lopez de Hoyos) - (Velazquez - Gta, Lopez de Hoyos);4477225;442266;30;-3,680785289;40,44367316;;
4164;PUNTOS DE MEDIDA URBANOS;13016;P∫ Reina Cristina E-O - Jose Anselmo Clave-Alfonso XII;4473322;441791;30;-3,686028659;40,40847991;;
4467;PUNTOS DE MEDIDA URBANOS;22302; Pl, San Juan de la Cruz S-O(Delante G,13) (P,M,5) -  Pl, San Juan de la Cruz S-O(Delante G,13) (P,M,5);4477138;441428;30;-3,690658083;40,44283082;;
5544;PUNTOS DE MEDIDA URBANOS;61032;Principe de Vergara N-S - Pl,Per˙-Pl,Rep˙blica Dominicana;4479232;442736;30;-3,675424537;40,46178566;;
6410;PUNTOS DE MEDIDA URBANOS;64025;C/, Aquitania - Toscana-Av, Canillejas a Vic·lvaro;4474861;448182;30;-3,610836491;40,42276656;;
4804;PUNTOS DE MEDIDA URBANOS;25039;AV, ANDALUCIA S-N (LATERAL);4469789;441133;30;-3,693456488;40,37660651;;
5969;PUNTOS DE MEDIDA URBANOS;45023;C/, Aquitania - Pl, Alsacia-Capri;4474464;447325;30;-3,620905464;40,41913633;;
4792;PUNTOS DE MEDIDA URBANOS;25026; SAN GRACIANO E-O;4471759;440375;30;-3,70256951;40,39429941;;
3574;PUNTOS DE MEDIDA URBANOS;50030;SAN VICENTE PAUL S-N;4471011;438483;30;-3,724789293;40,38742348;;
5144;PUNTOS DE MEDIDA URBANOS;58011;CARCASTILLO SO-NE(BESOLLA-C,V,LEGANES);4470281;437823;30;-3,73249353;40,3807983;;
5148;PUNTOS DE MEDIDA URBANOS;58015;AV,ABRANTES O-E(BESOLLA-PL,VULCANO) GIRO;4470038;437861;30;-3,732022201;40,37861208;;
5197;PUNTOS DE MEDIDA URBANOS;81017;P,ERMITA STO N-S(V,CARPETANA-S,AMBROSIO);4473161;438604;30;-3,723571103;40,4068006;;
7008;PUNTOS DE MEDIDA URBANOS;81019;PTE S,ISIDRO E-O(P,MELANC,-P,ERMITA STO);4473031;438709;30;-3,722321219;40,40563724;;
5350;PUNTOS DE MEDIDA URBANOS;87019;ZAFIRO O-E (ESTEFANIA-AV,ROSALES);4466918;442703;30;-3,674705108;40,35085221;;
3860;PUNTOS DE MEDIDA URBANOS;2005; Dr, Esquerdo S-N - Alcalde Sainz Baranda-Ibiza;4474470;443331;30;-3,667982262;40,41892797;;
3564;PUNTOS DE MEDIDA URBANOS;2029; Alcalde Sainz Baranda E-O - Giro Izq, a Torrespana;4474947;443923;30;-3,661046604;40,42326515;;
3582;PUNTOS DE MEDIDA URBANOS;11036;Puerto Serrano E-O - Puerto Miravete-Embajadores;4470994;441708;30;-3,686793657;40,38750224;;
6057;PUNTOS DE MEDIDA URBANOS;46412;C/, MarquÈs de Pico Velasco 53 - Misterios-Arturo Soria;4477440;445472;30;-3,643001698;40,44582644;;
6058;PUNTOS DE MEDIDA URBANOS;46413;C/, LÛpez de Aranda - Gral Aranaz-Arturo Soria;4477194;445800;30;-3,639113115;40,44363179;;
6059;PUNTOS DE MEDIDA URBANOS;46414;C/, Mesena - Emilio Rubin-Navarro Amandi;4479408;444194;30;-3,658244105;40,46347036;;
3609;PUNTOS DE MEDIDA URBANOS;10019;Menendez Pelayo N-S - (Pio  Baroja-NiÒo Jesus(Puerta Granada);4473962;442688;30;-3,675515317;40,41430761;;
4229;PUNTOS DE MEDIDA URBANOS;14030;P∫ Acacias O-E - Piramides-Dr, Vallejo N·jera;4472829;439705;30;-3,710564975;40,40389026;;
4227;PUNTOS DE MEDIDA URBANOS;14028;P∫ Acacias E-O - GasÛmetro-P∫ de los Olmos;4472965;439942;30;-3,707785011;40,40513254;;
4228;PUNTOS DE MEDIDA URBANOS;14029;P∫ de los Olmos N-S - Ronda Toledo-P∫ Acacias;4473022;439798;30;-3,709487323;40,40563562;;
4381;PUNTOS DE MEDIDA URBANOS;18003;Fern·ndez de los Rios; 71 O-E - Isaac Peral-Guzm·n el Bueno;4476530;439540;30;-3,712861172;40,43721856;
4409;PUNTOS DE MEDIDA URBANOS;19007;Bravo Murillo; 25 N-S - Donoso CortÈs-Fdez,de los Rios;4476582;440374;30;-3,703033378;40,43774721;
4411;PUNTOS DE MEDIDA URBANOS;19009;Luchana; 15 N-S - Palafox-Gta,  Bilbao;4475929;440669;30;-3,699494399;40,43188579;
4383;PUNTOS DE MEDIDA URBANOS;18005;Alberto Aguilera O-E - Gta, Ruiz JimÈnez-Vallehermoso;4475906;440162;30;-3,705469181;40,43164228;;
4405;PUNTOS DE MEDIDA URBANOS;19003;Eloy Gonzalo; 27 E-O - Santisima Trinidad-Gral,Alvarez Castro;4476433;440703;30;-3,699140602;40,43642847;
4677;PUNTOS DE MEDIDA URBANOS;35043;Roberto Domingo N-S - MartÌnez Izquierdo-Av,Toreros;4476412;444028;30;-3,659937918;40,43646972;;
5080;PUNTOS DE MEDIDA URBANOS;2058;Reina Cristina O-E - Andres Torrejon-Gutenberg;4473365;442277;30;-3,680305137;40,40890112;;
3411;PUNTOS DE MEDIDA URBANOS;97028;Av,Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria;4477721;440120;30;-3,706135369;40,44798956;;
